Country Name,Country Code,Series Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Armenia,ARM,Taxrevenue,22.48186258,21.82715524,22.00100474,21.86041928,22.28517099,20.8701039,20.78065336,21.27737528,20.93122083,21.59917455,21.58621388,17.49164208,17.21941905,17.0700514,16.50586323,17.32175873,15.96253173,14.39598656,14.33566341,13.99640565,..,..,..,..
Armenia,ARM,ControlCorruption,0.058399647,0.027907174,0.048684645,-0.003474974,-0.227039859,-0.409369439,-0.637015164,-0.659795225,-0.609746635,-0.565446794,-0.530533433,-0.58800149,-0.664559424,-0.69503957,-0.621459663,-0.712412357,-0.74589169,-0.669232607,-0.683349848,-0.703455329,-0.6490224,-0.778165162,..,-0.848086238
Armenia,ARM,CPIA,..,..,..,..,..,..,..,..,..,..,3.5,3.5,3,3,3,3,3.5,3.5,2.5,..,..,..,..,..
Aruba,ABW,GDP,3648573136,3279343544,2929446578,2481857123,3395798883,3276184358,3092429050,2983635196,2962907263,2790849721,2727849721,2615208380,2637859218,2453597207,2553793296,2843024581,2677641341,2469782682,2360017318,2254830726,2044111732,1961843575,1896456983,1873452514
Aruba,ABW,FDI,-3.767482788,7.567071864,4.55871502,6.48977645,-2.215282568,4.399821673,5.253373308,0.923397979,-0.907264204,7.465254603,9.974455092,-12.03318022,18.50578004,7.611672202,-0.415637599,0.664175811,-17.5903165,8.920466621,-8.804935635,-4.687638978,7.816428712,16.94905601,-14.07505557,-6.828727173
Aruba,ABW,GDPgr,4.263719415,8.517918105,24.13262736,-26.21182021,-2.232442027,2.3970862,7.048533386,1.71962498,-0.623625902,-1.586575138,6.431482604,-1.040799884,3.369237184,-2.733456793,-11.67774137,1.835755172,3.089544385,1.127411464,-0.383137672,7.293728071,1.110504599,-0.944953481,4.18200163,7.622920649
Aruba,ABW,Oilrents,..,..,0,0,0,0,0,0,0,0,0,0.001490306,0.001926898,0.001569607,0.001094297,0.0019564,0.00153974,0.001525773,0.001314053,0.000906167,0.000760651,0.000720703,0.000698232,0.000959489
Aruba,ABW,Taxrevenue,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,ControlCorruption,0.709075332,0.756486595,0.800938904,1.198827386,1.174430847,1.207401395,1.23961401,1.232693315,1.248301148,1.014001012,1.119600654,1.095235944,1.10294652,1.121295571,1.109147549,1.27677536,1.26187098,1.25131321,1.269663095,1.165965319,..,..,..,..
Aruba,ABW,CPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
